"Input Type (HIB, HAR, Sequence, or Small Files)"	Size	Wall clock using time command (seconds)	Bytes Read from HDFS	Bytes Written to HDFS	Bytes between Map and Reduce
small files	10	128.94	4852620	141	81
small files	10	137.84	4852620	139	81
small files	10	191.4	4852620	138	81
small files	10	81.85	4852620	142	81
small files	10	63.11	4852620	140	81
small files	100	68.26	50342967	1445	837
small files	100	96.02	50342967	1449	837
small files	100	208.39	50342967	1454	837
small files	100	108.32	50342967	1444	837
small files	100	85.71	50342967	1446	837
small files	1000	160.69	399977032		8568
small files	1000	137.06	399977032		8568
small files	1000	133.68	399977032		8568
small files	1000	146.38	399977032		8568
small files	1000	126.9	399977032		8568
sequence	10	64.48	4853055	142	81
sequence	10	76.46	4853055	139	81
sequence	10	63.8	4853055	141	81
sequence	10	72.05	4853055	139	81
sequence	10	66.38	4853055	139	81
sequence	100	189.52	50346762	1452	837
sequence	100	83.67	50346762	1449	837
sequence	100	81.69	50346762	1440	837
sequence	100	90.75	50346762	1437	837
sequence	100	81.83	50346762	1439	837
sequence	1000	116.73	402424315	14869	8631
sequence	1000	119.8	402424315	14881	8631
sequence	1000	255.2	402424315	14883	8631
sequence	1000	454.53	402424315	14896	8631
sequence	1000	117.33	402424315	14881	8631
sequence	10000	165.75	4919834808	144701	83979
sequence	10000	190.49	4919834808	144798	83979
sequence	10000	147.08	4919834808	144599	83979
sequence	10000	156.95	4919834808	144795	83979
sequence	10000	199.31	4919834808	144808	83979
sequence	100000	509.53	72688538373	1470184	853749
sequence	100000	497.94	72688538373	1470184	853749
sequence	100000	423.18	72688538373	1470184	853749
sequence	100000	502.04	72688538373	1470184	853749
sequence	100000	472.31	72688538373	1470184	853749
HAR	10	80.2	4869441	141	81
HAR	10	105.62	4869441	136	81
HAR	10	79.52	4869441	141	81
HAR	10	80.65	4869441	140	81
HAR	10	79.02	4869441	139	81
HAR	100	243.23	51166783	1451	837
HAR	100	246.33	51166783	1449	837
HAR	100	246.46	51166783	1447	837
HAR	100	260.56	51166783	1444	837
HAR	100	243.74	51166783	1444	837
HAR	1000	2574.99	476377072		8568
HAR	1000	2558.72	476377072		8568
HAR	1000	3376.83	476377072		8568
HAR	1000	2483.53	476377072		8568
HAR	1000	2791.78	476377072		8568
HIB	10	64.72	4852692	137	81
HIB	10	228.52	4852692	138	81
HIB	10	489.65	4852692	139	81
HIB	10	642.1	4852692	139	81
HIB	10	54.15	4852692	140	81
HIB	100	82.41	50343711	1438	837
HIB	100	418.28	50343711	1440	837
HIB	100	322.79	50343711	1443	837
HIB	100	89.26	50343711	1434	837
HIB	100	80.52	50343711	1436	837
HIB	1000	117.07	401783998	14888	8631
HIB	1000	121.38	401783998	14898	8631
HIB	1000	170.06	401783998	14872	8631
HIB	1000	121.12	401783998	14880	8631
HIB	1000	117.72	401783998	14855	8631
HIB	10000	165.81	4897121275	144772	83979
HIB	10000	138.6	4897121275	144800	83979
HIB	10000	143.49	4897121275	144767	83979
HIB	10000	144.04	4897121275	144742	83979
HIB	10000	160.64	4897121275	144664	83979
HIB	100000	471.47	72161266014	1470292	853749
HIB	100000	500.19	72161266014	1470060	853749
HIB	100000	532	72161266014	1470311	853749
HIB	100000	598.71	72161266014	1470276	853749
HIB	100000	541.84	72161266014	1469862	853749